logdir,hostpair,server,client,bw_limit,repetition,goodput,filesize,server_cpu,server_cpu_avg,client_cpu,client_cpu_avg,server_throughput_outgoing,server_throughput_incoming,client_throughput_outgoing,client_throughput_incoming,client_perf,server_perf,client_ethtool_rx_total_discard_pkts,client_ethtool_tx_total_discard_pkts,client_ethtool_rx_bytes,client_ethtool_tx_bytes,client_ethtool_rx_total_frames,client_ethtool_tx_total_frames,server_ethtool_rx_total_discard_pkts,server_ethtool_tx_total_discard_pkts,server_ethtool_rx_bytes,server_ethtool_tx_bytes,server_ethtool_rx_total_frames,server_ethtool_tx_total_frames,client_netstat_packets_received,client_netstat_packets_to_unknown_port_received,client_netstat_packet_receive_errors,client_netstat_packets_sent,client_netstat_receive_buffer_errors,client_netstat_send_buffer_errors,server_netstat_packets_received,server_netstat_packets_to_unknown_port_received,server_netstat_packet_receive_errors,server_netstat_packets_sent,server_netstat_receive_buffer_errors,server_netstat_send_buffer_errors,client_tc_stats,server_tc_stats,client_runtime
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,16,55.236764368995665,209715200.0,,,,,,,,,,,0,0,226604973,14733319,206276,145857,0,0,14733319,226604973,145857,206276,206273,0,0,145854,0,0,145854,0,0,206273,0,0,,,30.373277524
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,17,61.49903066136431,209715200.0,,,,,,,,,,,0,0,226586964,16977236,205973,168074,0,0,16977236,226586964,168074,205973,205970,0,0,168071,0,0,168071,0,0,205970,0,0,,,27.280455912
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,18,61.204705562351535,209715200.0,,,,,,,,,,,0,0,226615262,16997739,206357,168277,0,0,16997739,226614990,168277,206356,206353,0,0,168274,0,0,168274,0,0,206353,0,0,,,27.411643882
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,19,54.93913564172534,209715200.0,,,,,,,,,,,0,0,226605293,15490586,206254,153353,0,0,15490314,226605293,153352,206254,206250,0,0,153349,0,0,153349,0,0,206250,0,0,,,30.537822959
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,aioquic,picoquic,none,20,58.51765325501782,209715200.0,,,,,,,,,,,0,0,226735138,11248283,208163,111350,0,0,11248283,226735138,111350,208163,208160,0,0,111347,0,0,111347,0,0,208160,0,0,,,28.670350081
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,1,979.3817023881475,8589934592.0,,,,,,,,,,,0,0,9121336465,27015143,6138910,267457,0,0,27015143,9121336465,267457,6138910,6119668,0,19234,267449,19234,0,267449,0,0,6138902,0,0,,,70.166183524
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,2,1015.2230357397277,8589934592.0,,,,,,,,,,,0,0,9119236474,23392782,6137400,231595,0,0,23392782,9119236202,231595,6137399,6119965,0,17427,231588,17427,0,231588,0,0,6137392,0,0,,,67.689043399
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,3,1029.5115776215018,8589934592.0,,,,,,,,,,,0,0,9119623333,17338813,6137700,171653,0,0,17338813,9119623333,171653,6137700,6120408,0,17285,171646,17285,0,171646,0,0,6137693,0,0,,,66.749591929
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,4,1045.9753461185717,8589934592.0,,,,,,,,,,,0,0,9129285033,16829702,6144351,166614,0,0,16829702,9129285033,166614,6144351,6120195,0,24148,166607,24148,0,166607,0,0,6144343,0,0,,,65.698945768
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,5,997.2578210307952,8589934592.0,,,,,,,,,,,0,0,9118388978,24778974,6136856,245318,0,0,24778974,9118388978,245318,6136856,6119652,0,17196,245310,17196,0,245310,0,0,6136848,0,0,,,68.908435624
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,6,972.0093371882642,8589934592.0,,,,,,,,,,,0,0,9122261045,18676719,6139695,184900,0,0,18676447,9122260773,184899,6139694,6120091,0,19596,184892,19596,0,184892,0,0,6139687,0,0,,,70.698370878
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,7,1773.7682950544577,8589934592.0,,,,,,,,,,,0,0,9131051005,21149105,6145355,209380,0,0,21149105,9131051005,209380,6145355,6119787,0,25562,209374,25562,0,209374,0,0,6145349,0,0,,,38.742082683
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,8,1000.0875190353889,8589934592.0,,,,,,,,,,,0,0,9118520960,23877477,6136932,236391,0,0,23877205,9118520688,236390,6136931,6119675,0,17249,236383,17249,0,236383,0,0,6136924,0,0,,,68.713463409
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,9,997.4301714967382,8589934592.0,,,,,,,,,,,0,0,9119317868,26187558,6137900,259264,0,0,26187558,9119317868,259264,6137900,6120297,0,17597,259258,17597,0,259258,0,0,6137894,0,0,,,68.896528975
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,10,1045.412262438447,8589934592.0,,,,,,,,,,,0,0,9127463617,20519133,6143136,203141,0,0,20518861,9127463345,203140,6143135,6120007,0,23123,203135,23123,0,203135,0,0,6143130,0,0,,,65.734331776
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,11,1011.7358235180077,8589934592.0,,,,,,,,,,,0,0,9133283388,17341474,6147075,171679,0,0,17341474,9133283388,171679,6147075,6120154,0,26914,171672,26914,0,171672,0,0,6147068,0,0,,,67.922351869
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,12,976.2386884264048,8589934592.0,,,,,,,,,,,0,0,9120043007,23324133,6138064,230912,0,0,23323861,9120042735,230911,6138063,6119782,0,18276,230906,18276,0,230906,0,0,6138058,0,0,,,70.392084353
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,13,1366.3821798864983,8589934592.0,,,,,,,,,,,0,0,9125337915,14947772,6141402,147979,0,0,14947436,9125337579,147977,6141400,6120062,0,21333,147972,21333,0,147972,0,0,6141395,0,0,,,50.293012876
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,14,980.3155047364422,8589934592.0,,,,,,,,,,,0,0,9118995916,24266436,6137271,240243,0,0,24266436,9118995916,240243,6137271,6119680,0,17584,240236,17584,0,240236,0,0,6137264,0,0,,,70.099347121
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,15,1046.5433558938346,8589934592.0,,,,,,,,,,,0,0,9126437046,17570401,6142410,173946,0,0,17570129,9126436774,173945,6142409,6120110,0,22293,173939,22293,0,173939,0,0,6142403,0,0,,,65.663286978
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,16,1111.3840186742402,8589934592.0,,,,,,,,,,,0,0,9114885620,17452764,6134311,172780,0,0,17452764,9114885620,172780,6134311,6120693,0,13610,172772,13610,0,172772,0,0,6134303,0,0,,,61.832341918
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,17,982.1290839291288,8589934592.0,,,,,,,,,,,0,0,9121417589,27010026,6139309,267408,0,0,27009962,9121417253,267407,6139307,6120026,0,19274,267399,19274,0,267399,0,0,6139300,0,0,,,69.969902589
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,18,937.5226663860626,8589934592.0,,,,,,,,,,,0,0,9118191727,26745839,6136650,264756,0,0,26745839,9118191727,264756,6136650,6119536,0,17104,264749,17104,0,264746,3,0,6136640,0,0,,,73.299003367
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,19,966.1927365598644,8589934592.0,,,,,,,,,,,0,0,9120437155,27031586,6138614,267597,0,0,27031586,9120437155,267597,6138614,6120002,0,18603,267590,18603,0,267588,2,0,6138605,0,0,,,71.12398416
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,lsquic-goracle,picoquic,none,20,1425.495545728117,8589934592.0,,,,,,,,,,,0,0,9124682599,20388699,6141057,201850,0,0,20388699,9124682599,201850,6141057,6120003,0,21048,201844,21048,0,201844,0,0,6141051,0,0,,,48.207430555
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,1,1093.035836403928,8589934592.0,,,,,,,,,,,0,0,9112036486,25917696,6292670,256041,0,0,25917424,9112036214,256040,6292669,6291550,0,1113,256034,1113,0,256034,0,0,6292663,0,0,,,62.8702873
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,2,1093.1610094623416,8589934592.0,,,,,,,,,,,0,0,9111988485,24512618,6292629,242155,0,0,24512618,9111988485,242155,6292629,6291532,0,1089,242147,1089,0,242147,0,0,6292621,0,0,,,62.863088226
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,3,1087.859848137598,8589934592.0,,,,,,,,,,,0,0,9111633265,22394356,6292388,221213,0,0,22394356,9111633265,221213,6292388,6291533,0,849,221207,849,0,221207,0,0,6292382,0,0,,,63.16942083
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,4,1083.9151467159409,8589934592.0,,,,,,,,,,,0,0,9112106516,27064550,6292715,267352,0,0,27064550,9112106516,267352,6292715,6291549,0,1158,267344,1158,0,267344,0,0,6292707,0,0,,,63.399313665
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,5,1101.4992435069355,8589934592.0,,,,,,,,,,,0,0,9111726920,24510365,6292442,242129,0,0,24510711,9111726920,242131,6292442,6291536,0,900,242124,900,0,242124,0,0,6292436,0,0,,,62.387220941
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,6,1085.797484365669,8589934592.0,,,,,,,,,,,0,0,9111775208,25687771,6292481,253800,0,0,25687771,9111775208,253800,6292481,6291538,0,937,253794,937,0,253794,0,0,6292475,0,0,,,63.289405875
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,7,1090.796616580911,8589934592.0,,,,,,,,,,,0,0,9111956444,25276781,6292608,249699,0,0,25276989,9111956652,249699,6292608,6291541,0,1059,249691,1059,0,249691,0,0,6292600,0,0,,,62.999348819
